NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
0.00000000,-1.0744605E+09,8.2366942E+08,18353690.,-10.803314,-11.297766,0.35002215,1.3348475E+10,-6.5457494E+10,-6.7209357E+09,37809.857,12833.943,-2419.2934,1.0743812E+11,1.4576051E+09,-6.2347067E+09,-363.73543,34838.521,498.98282,-1.5004941E+11,-5.1429286E+09,18832787.,705.85394,-29875.757,0.91874576,-6.7524941E+10,2.3171868E+11,6.4870573E+09,-22373.211,-4654.1276,451.61875,
0.71406250,-1.0750365E+09,8.2306696E+08,18372352.,-10.802759,-11.297996,0.34991368,1.5355704E+10,-6.4733809E+10,-6.8459079E+09,37463.429,14314.489,-2266.5303,1.0740285E+11,3.3151865E+09,-6.2071847E+09,-961.75924,34829.926,533.37405,-1.5000332E+11,-6.7356853E+09,18881752.,1023.8466,-29861.327,0.91768389,-6.8717088E+10,2.3146737E+11,6.5110523E+09,-22339.059,-4771.6828,448.31748,
1.3390625,-1.0756199E+09,8.2245687E+08,18391245.,-10.802188,-11.298214,0.34980346,1.7368179E+10,-6.3920543E+10,-6.9640409E+09,37062.606,15812.282,-2107.3681,1.0733463E+11,5.1955351E+09,-6.1774493E+09,-1567.2291,34810.783,568.05019,-1.4993938E+11,-8.3477268E+09,18931276.,1345.5775,-29843.261,0.91654333,-6.9922454E+10,2.3120651E+11,6.5351713E+09,-22303.897,-4890.4568,444.96591,
1.9640625,-1.0762032E+09,8.2184676E+08,18410131.,-10.801608,-11.298416,0.34969289,1.9357638E+10,-6.3026458E+10,-7.0734585E+09,36610.586,17307.566,-1943.7147,1.0723372E+11,7.0745673E+09,-6.1458458E+09,-2172.3951,34781.133,602.56460,-1.4985808E+11,-9.9586994E+09,18980737.,1666.9823,-29821.725,0.91533730,-7.1125906E+10,2.3093924E+11,6.5591092E+09,-22268.156,-5008.9577,441.60585,
2.5890625,-1.0767864E+09,8.2123664E+08,18429011.,-10.801020,-11.298602,0.34958201,2.1321290E+10,-6.2051720E+10,-7.1739180E+09,36106.447,18799.259,-1775.5738,1.0710015E+11,8.9517160E+09,-6.1123831E+09,-2777.0772,34740.979,636.90695,-1.4975943E+11,-1.1568416E+10,19030132.,1988.0236,-29796.725,0.91406599,-7.2327413E+10,2.3066557E+11,6.5828654E+09,-22231.839,-5127.1833,438.23742,
3.2140625,-1.0773697E+09,8.2062651E+08,18447886.,-10.800424,-11.298773,0.34947083,2.3256296E+10,-6.0996553E+10,-7.2651775E+09,35549.219,20286.202,-1602.9512,1.0693395E+11,1.0826414E+10,-6.0770707E+09,-3381.0951,34690.329,671.06691,-1.4964345E+11,-1.3176689E+10,19079456.,2308.6643,-29768.269,0.91272963,-7.3526943E+10,2.3038553E+11,6.6064394E+09,-22194.947,-5245.1316,434.86071,
3.8390625,-1.0779529E+09,8.2001637E+08,18466754.,-10.799820,-11.298927,0.34935938,2.5159761E+10,-5.9861247E+10,-7.3469949E+09,34937.885,21767.151,-1425.8553,1.0673514E+11,1.2698095E+10,-6.0399188E+09,-3984.2687,34629.191,705.03422,-1.4951017E+11,-1.4783334E+10,19128706.,2628.8670,-29736.363,0.91132841,-7.4724465E+10,2.3009913E+11,6.6298309E+09,-22157.483,-5362.8004,431.47582,
4.4640625,-1.0785361E+09,8.1940622E+08,18485617.,-10.799208,-11.299064,0.34924769,2.7028736E+10,-5.8646160E+10,-7.4191292E+09,34271.386,23240.768,-1244.2981,1.0650380E+11,1.4566193E+10,-6.0009382E+09,-4586.4178,34557.576,738.79864,-1.4935961E+11,-1.6388162E+10,19177878.,2948.5949,-29701.014,0.90986257,-7.5919949E+10,2.2980638E+11,6.6530394E+09,-22119.448,-5480.1875,428.08284,
5.0890625,-1.0791192E+09,8.1879607E+08,18504473.,-10.798588,-11.299185,0.34913578,2.8860212E+10,-5.7351727E+10,-7.4813398E+09,33548.619,24705.611,-1058.2963,1.0623997E+11,1.6430142E+10,-5.9601399E+09,-5187.3625,34475.502,772.35000,-1.4919180E+11,-1.7990989E+10,19226970.,3267.8110,-29662.231,0.90833234,-7.7113364E+10,2.2950730E+11,6.6760645E+09,-22080.846,-5597.2910,424.68188,
5.7140625,-1.0797023E+09,8.1818591E+08,18523323.,-10.797961,-11.299289,0.34902369,3.0651120E+10,-5.5978463E+10,-7.5333872E+09,32768.440,26160.127,-867.87206,1.0594372E+11,1.8289378E+10,-5.9175358E+09,-5786.9227,34382.984,805.67817,-1.4900677E+11,-1.9591630E+10,19275977.,3586.4786,-29620.021,0.90673794,-7.8304679E+10,2.2920190E+11,6.6989057E+09,-22041.678,-5714.1086,421.27302,
6.3390625,-1.0802854E+09,8.1757575E+08,18542168.,-10.797326,-11.299376,0.34891145,3.2398328E+10,-5.4526970E+10,-7.5750335E+09,31929.671,27602.639,-673.05426,1.0561514E+11,2.0143338E+10,-5.8731382E+09,-6384.9188,34280.046,838.77306,-1.4880454E+11,-2.1189900E+10,19324897.,3904.5611,-29574.393,0.90507963,-7.9493863E+10,2.2889021E+11,6.7215626E+09,-22001.946,-5830.6384,417.85637,
